# Таблицы: где объявлены и существуют ли в базе.
#
# 31.08.2026 счёт таков: 18 таблиц продукта объявлены спекой и не мигрированы ни
# одной строкой, 9 таблиц управляющего контура и DSA живут в миграциях и в спеке
# чата не описаны. Это не дефект — это состояние: продукт на бумаге, контур в
# базе. Реестр держит счёт, чтобы «схема есть» не путали с «таблица есть».
#
# Колонки:
#   table       имя таблицы
#   declared_in где объявлена (файл:строка) или «-»
#   migration   файл миграции или «-» (таблицы нет в базе)
#   layer       product | control — продукт или управляющий контур
#
# Две колонки — два разных утверждения, и проверяются они по-разному:
#   declared_in — утверждение о тексте, проверяется грепом по документу;
#   migration   — утверждение о базе, проверяется запросом к живой базе стенда,
#                 а не грепом по тексту миграции.
# 31.08.2026 разница оказалась не теоретической: стенд крутил образ, собранный до
# пятой миграции, и видел 4 файла из 11 — по тексту «таблица есть» выходило для
# семи таблиц, которых база не знала. Поэтому scripts/check-facts-schema.sh
# требует поднятый стенд и без базы отказывается работать, а не зеленеет.
#
# Проверяет scripts/check-facts-schema.sh: таблица из миграции обязана быть в
# реестре, таблица реестра с миграцией обязана в ней найтись, а объявленная в
# документе — найтись в этом документе.
#
#
# 08.09.2026: три таблицы спеки офферов внесены в реестр. offers обращался
# код снимка (relay/node/src/lib/dsa_snapshot.ts) по именам колонок, а ни один
# документ её не объявлял — снимок по уведомлению об оффере опирался на имена,
# за которые никто не отвечал. Вместе с ней внесены venues и advertisers: без
# них ссылка venue_id вела бы в пустоту, и реестр был бы полон ровно наполовину.
#
# 09.09.2026: table_games и table_scores — состояние игры за столом и счёт.
# Заведены вместе с минимальными правилами: судить о ходе может только тот,
# кто доску видит, а за столом всё публично по построению. 10.09.2026 к ним
# добавилась третья — `chat_games`, кеш партии вдвоём: судья без позиции судить
# не может, а перезапуск узла бывает при каждом выкате. Здесь стояло «вдвоём
# партия остаётся в памяти узла и в базу не пишется — поэтому таблиц две».
table	declared_in	migration	layer
advertisers	docs/offers/SPEC_RU.md:216	relay/node/db/050_offers.sql	product
api_keys	-	relay/node/db/001_control_state.sql	control
blocks	docs/chat_RU.md:2392	relay/node/db/030_likes_matches_blocks.sql	product
brands	-	relay/node/db/001_control_state.sql	control
chat_games	docs/chat_RU.md:444	-	product
chat_key_wraps	docs/chat_RU.md:2616	-	product
chat_participants	docs/chat_RU.md:2186	relay/node/db/031_chats.sql	product
chat_starters	docs/chat_RU.md:2201	relay/node/db/031_chats.sql	product
chats	docs/chat_RU.md:2177	relay/node/db/031_chats.sql	product
dsa_notices	-	relay/node/db/005_dsa_notices.sql	control
dsa_statements	-	relay/node/db/005_dsa_notices.sql	control
feed_messages	docs/chat_RU.md:1496	relay/node/db/025_feed_and_stats.sql	product
hidden_messages	docs/chat_RU.md:2418	relay/node/db/034_hidden_messages.sql	product
idempotency	-	relay/node/db/001_control_state.sql	control
identities	docs/chat_RU.md:776	relay/node/db/022_identity_and_sessions.sql	product
identity_stats	docs/chat_RU.md:1977	relay/node/db/025_feed_and_stats.sql	product
jobs	-	relay/node/db/001_control_state.sql	control
legal_acceptances	docs/chat_RU.md:822	relay/node/db/022_identity_and_sessions.sql	product
likes	docs/chat_RU.md:1962	relay/node/db/030_likes_matches_blocks.sql	product
match_participants	docs/chat_RU.md:2060	relay/node/db/030_likes_matches_blocks.sql	product
matches	docs/chat_RU.md:2052	relay/node/db/030_likes_matches_blocks.sql	product
offers	docs/offers/SPEC_RU.md:310	relay/node/db/050_offers.sql	product
offer_link_reports	docs/offers/SPEC_RU.md:700	-	product
pageview_daily	-	relay/node/db/001_control_state.sql	control
pending_deliveries	docs/chat_RU.md:2345	relay/node/db/032_pending_deliveries.sql	product
quota_counters	-	relay/node/db/001_control_state.sql	control
schema_migrations	-	relay/node/db/001_control_state.sql	control
socket_tickets	-	relay/node/db/033_socket_tickets.sql	product
sessions	docs/chat_RU.md:1022	relay/node/db/022_identity_and_sessions.sql	product
session_invites	-	relay/node/db/024_session_invites.sql	product
table_games	docs/chat_RU.md:414	-	product
table_lines	docs/chat_RU.md:372	-	product
table_scores	docs/chat_RU.md:481	-	product
table_seats	docs/chat_RU.md:340	-	product
tables	docs/chat_RU.md:320	-	product
table_likes	docs/chat_RU.md:1970	-	product
vault_shares	docs/chat_RU.md:1266	relay/node/db/022_identity_and_sessions.sql	product
venues	docs/offers/SPEC_RU.md:247	relay/node/db/050_offers.sql	product
support_requests	docs/chat_RU.md:2882	relay/node/db/039_support_requests.sql	product
identity_appearance	docs/chat_RU.md:806	relay/node/db/022_identity_and_sessions.sql	product
nonces	docs/chat_RU.md:1040	relay/node/db/022_identity_and_sessions.sql	product
night_path_hours	-	relay/node/db/044_night_path_hours.sql	control
dsa_notice_counts	-	relay/node/db/045_dsa_notice_counts.sql	control
dsa_monthly_recipients	-	relay/node/db/053_dsa_monthly_recipients.sql	control
dsa_notice_letters	-	relay/node/db/054_dsa_notice_letters.sql	control
dsa_aging_hours	-	relay/node/db/055_dsa_aging_hours.sql	control
venue_suspensions	-	relay/node/db/056_advertiser_retention.sql	control
