# Пределы платформы: одно число — одна строка, и перечень файлов, где оно обязано стоять.
#
# Зачем. 31.08.2026 радиус зоны стал пятью ступенями в гейте, а канонические
# механики обеих витрин остались с непрерывным диапазоном 100–10000: одно решение,
# шесть файлов, три репозитория, и ни одна из двенадцати проверок этого не увидела.
# Реестр держит число один раз и знает, где оно должно повториться.
#
# Колонки:
#   id           короткое имя факта, устойчивое к переписыванию текста
#   values       значения через пробел; каждое обязано найтись в каждом файле places
#   unit         единица измерения, для человека
#   what         что это, одной строкой
#   enforced_by  кто удерживает: база | узел | клиент | конфиг | документ
#   places       файлы от корня группы через запятую; там число обязано быть
#   executor     кто исполняет срок узла (заведено 15.09.2026, сторож С4 docs/watchdogs_RU.md):
#                имя задачи из relay/node/src/lib/scheduled.ts, id пункта docs/facts/open.tsv,
#                если исполнителя ещё нет, или «запрос» — срок проверяется при самом запросе и
#                задачи не требует. Обязателен у строк enforced_by = узел, чья единица — время
#                (секунды, минуты, часы, дни; с 15.09.2026 ворота отбирают по единице, а не по
#                имени id — OPS-5 финальной панели); у остальных пуст.
#
# Проверяет scripts/check-facts-limits.sh — в обе стороны: значение реестра
# обязано найтись в каждом своём файле, а каждая строка таблицы «Пределы» в
# protocol_{RU,EN}.md обязана иметь строку здесь.
#
# Граница честности: проверка ищет число как отдельный токен во всём файле, а не
# в конкретном предложении. Для «4» это почти всегда истина и потому слабо; вся
# сила — на числах, которые лежат в нескольких файлах и расходятся.
#
id	values	unit	what	enforced_by	places	executor
phrase.length	128	графем	длина фразы; графемы считает узел, в базе широкая страховка octet_length <= 2048 (15.09.2026, DATA-6)	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md,xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md	
chat.message.length	256	символов	длина сообщения чата по умолчанию	клиент	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md,xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md	
chat.ciphertext.bytes	2048	байт	размер шифротекста	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md,xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md	
notify.payload	8	КБ	payload NOTIFY	база	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md,xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md	
feed.live.slots	4	фразы	живых фраз на личность	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md,xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md,sosed.place/docs/04-post-composer_RU.md,sosed.place/docs/04-post-composer_EN.md,sosed.place/docs/09-my-messages_RU.md,sosed.place/docs/09-my-messages_EN.md,neighbro.place/docs/04-post-composer_RU.md,neighbro.place/docs/04-post-composer_EN.md,neighbro.place/docs/09-my-messages_RU.md,neighbro.place/docs/09-my-messages_EN.md	
feed.publications.hour	4	за час	публикаций в час	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md,xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md,sosed.place/docs/04-post-composer_RU.md,sosed.place/docs/04-post-composer_EN.md,sosed.place/docs/09-my-messages_RU.md,sosed.place/docs/09-my-messages_EN.md,neighbro.place/docs/04-post-composer_RU.md,neighbro.place/docs/04-post-composer_EN.md,neighbro.place/docs/09-my-messages_RU.md,neighbro.place/docs/09-my-messages_EN.md	
moderation.refusals.pause.count	5	отказов	отказов модерации в часе, кончающемся последним отказом, после которых включается пауза (14.09.2026; заведено в реестр 21.09.2026 — до этого число жило только прозой §8.3)	узел	xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md	запрос
moderation.refusals.pause	15	минут	пауза отправки после пятого отказа, считается от последнего отказа (14.09.2026; заведено в реестр 21.09.2026)	узел	xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md	запрос
feed.area.steps	100 300 1000 3000 10000	метров	радиус области фразы — пять ступеней	база	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md,xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md,sosed.place/docs/04-post-composer_RU.md,sosed.place/docs/04-post-composer_EN.md,sosed.place/docs/00-mechanics_RU.md,sosed.place/docs/00-mechanics_EN.md,neighbro.place/docs/04-post-composer_RU.md,neighbro.place/docs/04-post-composer_EN.md,neighbro.place/docs/00-mechanics_RU.md,neighbro.place/docs/00-mechanics_EN.md	
pin.attempts	10	попыток	попыток ПИНа до закрытия входа (доля цела с 14.09.2026)	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md,xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md	
pin.delay.6	30	секунд	задержка перед шестой попыткой ПИНа	узел	xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md	запрос
pin.delay.7	2	минуты	задержка перед седьмой попыткой ПИНа	узел	xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md	запрос
pin.delay.8	10	минут	задержка перед восьмой попыткой ПИНа	узел	xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md	запрос
pin.delay.9	1	час	задержка перед девятой попыткой ПИНа	узел	xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md	запрос
pin.delay.10	4	часа	задержка перед десятой попыткой ПИНа	узел	xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md	запрос
support.frozen.day	1	обращение	обращений в сутки из сессии, замороженной пределом ПИНа	узел	xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md	
support.requests.day	3	обращения	обращений в поддержку в сутки на личность	узел	xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md,sosed.place/docs/14-support_RU.md,sosed.place/docs/14-support_EN.md,neighbro.place/docs/14-support_RU.md,neighbro.place/docs/14-support_EN.md	
support.body.length	2000	символов	длина текста обращения в поддержку, графемы после обрезки пробелов (решение владельца 22.09.2026)	узел	xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md,xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md,sosed.place/docs/14-support_RU.md,sosed.place/docs/14-support_EN.md,neighbro.place/docs/14-support_RU.md,neighbro.place/docs/14-support_EN.md	
support.answer.length	4000	символов	длина ответа команды на обращение, графемы после обрезки (решение владельца 22.09.2026)	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md	
support.retention	1	год	срок хранения обращения в поддержку от created_at (спека чата §13; политика приватности витрин «1 year»)	узел	xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md	sweep_support
pin.lock.idle	5	минут	бездействие, после которого вкладка запирается ПИНом	клиент	sosed.place/docs/12-identity-and-security_RU.md,sosed.place/docs/12-identity-and-security_EN.md,neighbro.place/docs/12-identity-and-security_RU.md,neighbro.place/docs/12-identity-and-security_EN.md	
queue.throughput	20	фраз в минуту	пропускная способность очереди, замер не сделан	узел	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md	
moderation.false.block.budget	7	процентов	бюджет ложных блокировок	конфиг	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md	
report.threshold.share	5	процентов	порог жалоб от возможной аудитории	конфиг	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md	
report.threshold.floor	3	человека	нижняя граница порога жалоб	конфиг	xor.ad/docs/protocol_RU.md,xor.ad/docs/protocol_EN.md	
table.idle.span	60	минут	срок молчания стола, общий на всех	узел	xor.ad/docs/chat_RU.md,xor.ad/docs/chat_EN.md	table.sweeper
