# Открытые вопросы: один список вместо пяти.
#
# Источники были разрознены — незакрытые чекбоксы в open-work, в dsa/CHECKLIST и
# в review-checklist, абзацы «Открытый пункт» в спеке чата, раздел «Открыто» в
# дизайн-системе. Собрать «что открыто» можно было только глазами по шести
# файлам, и часть терялась. scripts/collect-open-items.sh показывает сырьё,
# этот файл — то, что действительно ждёт решения.
#
# Колонки:
#   id       имя пункта; для чекбоксов — их собственное (G11, J19)
#   opened   когда заведён
#   due      дата, «сейчас», «с запуском» или «-»
#            «сейчас» значит, что обязательство уже действует, а исполнения нет:
#            приватность обещает удаление через 30 дней, уборщика нет — срок не в
#            будущем, он идёт. «с запуском» значит, что обязательство настоящее,
#            но исполнять его не на чем: экрана, ленты или таблицы ещё нет, и
#            работа начнётся не раньше запуска. Разница с «сейчас» не
#            бухгалтерская: первое требует работы сегодня, второе — только не
#            забыть в день запуска, и смешивать их значит топить настоящую
#            просрочку в списке невыполнимого. «-» ставится только там, где срока
#            действительно нет, и вес такого пункта не может быть legal.
#   weight   legal | product | comfort — чем это является:
#            legal    обещание, записанное в юридических документах или в законе
#            product  обязательство продукта перед человеком
#            comfort  удобство: без него продукт работает
#   what     что решить, одной строкой
#   blocks   область из объявленных в docs/facts/ontology.json (open_areas)
#   where    где это записано: файл или файл:строка
#   anchor   кусок той самой строки, по которому её найти снова. Обязателен там,
#            где адрес несёт номер, и запрещён там, где адрес указывает на файл
#            целиком. Заведён 03.09.2026: номер сам по себе адресом не является —
#            документ правят, строки съезжают, а адрес продолжает указывать на
#            то, что там теперь оказалось. В тот день мимо вели тринадцать
#            адресов из двадцати девяти, и четырнадцатый сломала вставка абзаца
#            за час до проверки. Якорь обязан быть уникальным в файле:
#            неуникальный находит не ту строку и возвращает ту же
#            неопределённость. Номер сверяется с якорем и правится по нему.
#   stops    что пункт держит, одно слово из ontology.json (open_stops): отрисовку, код,
#            публикацию или ничего. Заведён 15.09.2026 (этап Э4 маршрута до отрисовки):
#            ворота готовности требуют, чтобы до рисования ни один пункт не держал
#            отрисовку, а по весу и сроку этого не видно — legal «с запуском» и
#            product «-» могут держать что угодно. Пункт держит этап, только если
#            без его решения этап нельзя сделать правильно; работа, которая
#            описана и ждёт кода, держит публикацию, а не код.
#
# 31.08.2026: J25 «свести открытые вопросы спеки чата в список» закрыт — его
# закрыл этот файл. Остальные сверены с явью: таблиц стола и личностей в базе
# нет, в relay/node/src/chat лежит один файл, предела длины на узле нет. Счёт
# записей не пишется здесь прозой — его печатает scripts/check-facts-open.sh,
# и он не может устареть.
#
# 08.09.2026: очередь 2 плана закрыта — три пункта, которые чинились только до
# запуска. probe.drops.feed.table: пробы спрашивают базу перед тем, как строить
# свою поверхность, и отказываются работать, если таблица уже настоящая
# (refuseIfSurfaceExists, пять вызовов на четыре DROP). jobs.lease.unchecked:
# db/020 дал уникальный индекс на стоящую задачу и колонку lease, finish и
# перепланирование называют аренду. idempotency.unbounded: db/021 дал индекс по
# возрасту, планировщик — суточную уборку. Каждое проверено пробой, и каждая
# проба проверена на красноту: сломанное условие возраста и сломанная сверка
# аренды роняют свои пробы.
#
# 08.09.2026, позже: два пункта очереди 3. auth.link.unlimited — у /auth/request-link
# два потолка, и они не взаимозаменяемы: по адресу звонящего (говорит 429 вслух —
# членства это не выдаёт) и по запрашиваемому ящику (молчит 204, потому что 429
# подтвердил бы, что адрес стоит ограничивать, а флудят не того, кто спрашивает).
# Ящик хэшируется: ключи лимитера лежат в памяти строками. Плюс уборщик
# неиспользованных ссылок по их собственному exp — общий уборщик объектов их не
# берёт, он работает по возрасту и отказывается от окон короче недели.
# v1.no.address.limit — потолок по адресу перед аутентификацией, в памяти:
# дневная квота на ключ отключается при недоступной базе, то есть исчезала ровно
# тогда, когда была нужнее всего.
#
# 08.09.2026, к вечеру: очередь 3 закрыта. metrics.public — /metrics по токену
# METRICS_TOKEN, без верного токена 404 (не 401: 401 подтвердил бы, что путь
# угадан). Не по адресу: всё приходит через Caddy на том же боксе, поэтому
# адреса соединения у скрейпера и у интернета одинаковые. Токен не задан нигде —
# значит закрыто для всех; шаг 3 в runbook переписан вместе с этим.
# mailer.body.logged — в лог уходит машинный код ошибки провайдера (`name`), а не
# пятьсот символов тела: Resend цитирует запрос обратно, и один опечатанный
# адрес клал чужую почту в лог, который хранилище держит год. Исключения,
# доходящие до лога, проходят через withoutAddresses.
#
# 08.09.2026, ночью: firewall.reset.window закрыт. Правила уезжают на бокс
# скриптом и запускаются отсеченными от ssh-сессии (setsid nohup), а `ufw --force
# enable` висит на trap — то есть выполняется и тогда, когда правило отвергнуто.
# Раньше это была одна цепочка через `&&`, начинавшаяся с выключения файрвола:
# обрыв связи или один опечатанный адрес в списке оставляли публичный бокс
# открытым, и ни одна проверка этого не видела. Теперь мастер ещё и читает
# `ufw status` после и краснеет, если файрвол не поднялся.
#
# 08.09.2026, очередь 6: пять расхождений между документами закрыты.
# schema.offers.missing — три таблицы спеки офферов (offers, venues, advertisers)
# объявлены DDL и внесены в реестр; код снимка читал offers по именам колонок,
# за которые не отвечал ни один документ. feed.span.retired — запись журнала о
# трёх сроках чата помечена отменённой: действует набор из четырёх с 26.08.2026,
# и оба её довода разобраны в каноне поимённо. table.brand.equality — равенства
# между tables.brand и table_lines.brand держать не надо и решено 08.09.2026 не
# держать: brand это атрибуция, а мир один. table.eviction — высадка
# выпроваживает, но не запирает; колонка «этому нельзя» не заводится (след про
# человека), а запирает симметричная блокировка, скрывающая стол у обеих сторон.
# dsa.platform.queue.filter — в очереди уведомлений выбор очереди, правило вынесено
# в inQueue и закрыто пробой.
#
# identity.cascades остаётся, но это не расхождение документов: решение принято и
# записано, а реализовать его негде — ни одной из шести таблиц в схеме узла нет.
# Он закроется кодом продукта, как product.tables.unmigrated и table.sweeper.
#
# 09.09.2026: games.minimal.rules закрыт в тот же день, что и заведён — решением
# ввести минимальные правила. Объём свой у каждого класса доски, счёт живёт пока
# жива беседа или стол, ходы и состояние игры выведены из-под сквозного шифрования
# (переписка шифруется как прежде). Цена записана рядом с решением: «добавить игру
# — строка в таблице» больше не верно, у класса появляется код правил.
#
# 10.09.2026: feed.shares.collision закрыт в тот же день, что заведён. Порядок при
# нехватке места — фразы, столы, офферы; уступает оффер, потому что механика уже
# называет его гостем в ленте соседей. Попутно пересчитан потолок: не 'больше
# трети', как стояло в первой редакции абзаца, а 31,8% — доли считаются от разных
# баз, и складывать их на глаз нельзя.
#
# 10.09.2026: game.judge.restart закрыт в тот же день. Позиция партии вдвоём пишется
# в кеш (`chat_games`), потому что судья без позиции судить не может, а перезапуск
# узла бывает при каждом выкате. Слово «кеш» разъяснено в спеке, а не спрятано:
# технически это строка в базе, отличают её три проверяемых обещания — живёт не
# дольше беседы, содержит только позицию и счёт, сметается уборщиком.
#
# 15.09.2026: app.light.theme и app.july.prototype закрыты. Светлая тема у приложения была
# решена ещё 26.08.2026 на экране 10 витрин, а строка дизайн-системы её не видела; теперь тема,
# ступени контраста и акцент из набора витрины живут на экране 22. Июльский прототип остаётся
# образцом раскладки на глаз, токены из него не берутся. Взамен заведён appearance.unbuilt:
# политика приватности с редакции 15.09.2026 называет оформление у личности, а колонок и ручки нет.
id	opened	due	weight	what	blocks	where	anchor	stops
J9	2026-08-05	2027-08-05	legal	Перепроверить статус микропредприятия	dsa	docs/open-work_RU.md:613	**J9. Перепроверить статус микропредприятия до	ничего
DSA-report-menu	2026-08-26	с запуском	legal	Пункт «пожаловаться» в меню сообщения и на карточке оффера	dsa	docs/dsa/CHECKLIST_RU.md:118	Пункт «пожаловаться» в скрытом меню сообщения ведёт в форму	публикацию
DSA-reasons-no-mail	2026-08-26	с запуском	legal	Показ мотивировки в приложении, когда почты автора нет	dsa	docs/dsa/CHECKLIST_RU.md:121	**Показ мотивировки в приложении, когда почты автора нет	публикацию
DSA-turnover	2026-08-26	2027-08-05	legal	Не появился ли оборот: в коде платежей нет (31.08.2026), донаты по внешней ссылке не измерены, способ подсчёта для порога не решён	dsa	docs/dsa/CHECKLIST_RU.md:144	Не появился ли у витрин оборот: платная реклама или	ничего
identity.sweeper	2026-09-20	-	product	Уборщик личностей написан 20.09.2026 (relay/node/src/lib/identity_sweeper.ts, часовая задача sweep_identities): три срока в одном проходе. Открытым остаётся не он, а гонка закрытия и батчи — панель ревью docs/reviews/PANEL_2026-09-20_step1-identity.md, задачи 2 и 3. Таблица identities с 20.09.2026 в схеме узла есть (relay/node/db/022_identity_and_sessions.sql), то есть довод «писать не на чем» снят — остаётся сам уборщик: удаление закрытой личности через 30 дней (предел identity.deletion.delay). Обещание есть в спеке чата и спеках витрин; на живых витринах и в опубликованных юр-текстах его НЕТ — проверено запросом, поэтому срок снят 01.09.2026	identity	docs/chat_RU.md:872	**Закрытая личность удаляется через 30 дней — решено	публикацию
J19	2026-08-21	-	product	Модель личности: код шага 1 построен 20.09.2026, перенос и перевыпуск ключа беседы — тоже (сверено 24.09.2026); остался экран подтверждения переноса с контекстом в клиенте	chat	docs/open-work_RU.md:1854	**J19. Модель личности: спека переписана, код построен, перенос остался.**	публикацию
G6	2026-08-07	-	product	Предел длины сообщения на узле: код есть (routes/chats.ts, CIPHERTEXT_MAX = 2048, тест на 2049), открыт только замер check-message-limits.sh на живом узле после выката	chat	docs/open-work_RU.md:1169	**G6. Предел длины сообщения — проверка на узле.** Решение	публикацию
product.tables.unmigrated	2026-08-31	-	product	9 таблиц продукта объявлены спеками и не мигрированы: 8 в спеке чата, 1 в спеке офферов (24.09.2026: advertisers, venues, offers — relay/node/db/050_offers.sql; 22.09.2026: support_requests — relay/node/db/039_support_requests.sql; 21.09.2026: hidden_messages — relay/node/db/034_hidden_messages.sql; pending_deliveries — relay/node/db/032_pending_deliveries.sql; chats, chat_participants, chat_starters — relay/node/db/031_chats.sql; feed_messages и identity_stats — relay/node/db/025_feed_and_stats.sql, likes, matches, match_participants, blocks — relay/node/db/030_likes_matches_blocks.sql). Шесть первых мигрированы 20.09.2026 шагом 1 (identities, sessions, vault_shares, nonces, legal_acceptances, identity_appearance — relay/node/db/022_identity_and_sessions.sql); до того их было 30 и продукт не был начат вовсе. Счёт ведёт check-facts-schema.sh по docs/facts/schema.tsv: строка с прочерком в колонке миграции — таблица на бумаге	chat	docs/facts/schema.tsv		публикацию
G9	2026-08-12	-	product	Ключ для нативного клиента: два подпункта из пяти (пересчитано 03.09.2026: [x] стоит у двух из пяти)	depth	docs/open-work_RU.md:1265	**G9. Ключ для нативного клиента — два подпункта из пяти	публикацию
table.sweeper	2026-08-31	-	product	Уборщика стола нет: оператор написан, в планировщике его нет	table	docs/chat_RU.md:558	**Уборщика ещё нет, и таблицы `tables` в узле тоже нет** —	публикацию
landing.mockup.texts	2026-08-18	-	comfort	Тексты в мокапах захардкожены по-английски, отложено	design	docs/review-checklist_RU.md:154	`index.html` — тексты в мокапах захардкожены по-английски.	ничего
moderation.model	2026-08-24	-	product	Какая модель модерации: решается замером, а не спором (§8.14)	chat	docs/open-work_RU.md:1850	модель модерации (§8.14 — «замер, а не спор», и сама спека	код
moderation.queue.throughput	2026-08-24	-	product	Пропускная способность очереди модерации (§8.3)	chat	docs/open-work_RU.md:1851	в день, когда очередь появится) и пропускная способность	публикацию
refusal.texts.readaloud	2026-08-26	-	product	Формулировки отказов не приняты, пока их не прочитали вслух	dsa	docs/refusal-wordings_RU.md:223	**Тексты приняты не будут, пока их не прочитали вслух.**	публикацию
pool.image.unreported	2026-09-01	-	product	Прод и staging не сообщают свой образ: поле image в /health добавлено 31.08.2026 (599ff11), а обе среды на v2026.8.14-gc3d10fb, который старше него. Пока это так, check-node-images.sh проверяет одну среду из трёх, и вопрос «что на проде» отвечается только человеком. Прод 11.09.2026 выкачен на v2026.9.11-g8f89e7a и называет сборку в /health — для прода закрыто, остаётся staging	prod	scripts/check-node-images.sh:20	узел, который не сообщает свой образ, — не провал: сегодня	ничего
dsa.article18.route	2026-09-08	сейчас	legal	Сообщение в органы по ст. 18: запись dsa_notice.escalated в аудите построена (relay/node/src/routes/dsa.ts, POST /admin/dsa-notices/:id/escalate, сверено 24.09.2026); открыто — адресат (Cybercrime Subdivision полиции Кипра) не подтверждён обращением	dsa	docs/dsa/SPEC_RU.md:276	Что записывается у нас	публикацию
dsa.conduit.or.hosting	2026-09-12	сейчас	legal	После решения от 12.09.2026 узел держит недоставленный шифротекст до доставки или конца беседы. Транзит это или хостинг — вывод не юриста, и он нужен до запуска	dsa	docs/chat_RU.md:2310	**Очередь недоставленного.**	публикацию
watchdogs.unbuilt	2026-09-15	-	product	С1 и С2 построены 23.09.2026; у С2 нет резервного транспорта — письмо об исчерпанных повторах и ночная копия идут тем же основным, что мог отказать (см. mail.fallback.transport)	dsa	docs/watchdogs_RU.md:168	С2 построен без резервного транспорта	публикацию
node.external.pinger	2026-09-15	-	product	Внешний пингер узла не выбран: о падении узнают, зайдя посмотреть; выбор сервиса требует аккаунта	prod	docs/watchdogs_RU.md:169	Сервис внешнего пингера не выбран	публикацию
mail.fallback.transport	2026-09-23	-	product	Резервного почтового транспорта нет: эскалация С1 идёт тем же Resend, что мог отказать; нужен второй аккаунт — действие владельца	dsa	docs/watchdogs_RU.md:170	С1: резервного транспорта для эскалации нет	публикацию
dsa.receipt.unbuilt	2026-09-15	с запуском	legal	Квитанция без почты: узел построен 24.09.2026 (receipt_hash в POST /report, POST /report/decision, db/052); открыто — форма report.html витрин без кода и строки у поля почты; политика приватности, реестр ст. 30 и DPIA назовут код на устройстве и receipt_hash вместе с кодом; до этих текстов форма код не рождает	dsa	docs/dsa/SPEC_RU.md:412	**Как именно — дописано 15.09.2026 по панели ревью.**	публикацию
a11y.table.move.timer	2026-09-15	с запуском	product	Окно хода за столом (пять минут, потом пас) — ограничение по времени без настройки: решить, реальное ли это время по WCAG 2.2.1 или окно продлевается	design	docs/accessibility-and-i18n_RU.md:84	`a11y.table.move.timer` в `docs/facts/open.tsv`	код
appearance.unbuilt	2026-09-15	с запуском	legal	Оформление у личности построено 23.09.2026 (таблица, GET и PUT /identities/appearance, удаление вместе с личностью), начальное значение в POST /identities — 24.09.2026; открыто: сверка акцента с набором именно этого лица и проверка контраста 66 палитр витрин — ждут данных китов	design	docs/chat_RU.md:806	CREATE TABLE identity_appearance (	публикацию
