# Решения: одно решение — одна строка, с якорем в обеих половинах.
#
# Засеяно scripts/seed-facts-decisions.py, проверяется
# scripts/check-facts-decisions.sh: дата в реестре обязана совпасть с
# датой на обеих строках-якорях, а якорь — существовать.
#
# Строки, которые скрипт сопоставить не смог, в реестр НЕ попадают:
# угаданная пара хуже отсутствующей.
#
id	date	ru	en	subject_ru	subject_en
chat.2026-08-12.1840	2026-08-12	xor.ad/docs/chat_RU.md:2729	xor.ad/docs/chat_EN.md:2765	Определение «есть личность»	"Has an identity" is defined
chat.2026-08-17.1840	2026-08-17	xor.ad/docs/chat_RU.md:2729	xor.ad/docs/chat_EN.md:2765	Определение «есть личность»	"Has an identity" is defined
chat.2026-08-18.686	2026-08-18	xor.ad/docs/chat_RU.md:1311	xor.ad/docs/chat_EN.md:1330	Он спрашивается при регистрации — возвращено 26.08.2026, отменяет пере	It is asked for at registration — restored 2026-08-26, overriding the 
chat.2026-08-18.729	2026-08-18	xor.ad/docs/chat_RU.md:1356	xor.ad/docs/chat_EN.md:1376	Счётчик попыток снят с личности — исправлено 18.08.2026.	The attempt counter has been taken off the identity — corrected 2026-0
chat.2026-08-19.444	2026-08-19	xor.ad/docs/chat_RU.md:944	xor.ad/docs/chat_EN.md:956	ECDSA P-256, решено 19.08.2026 по замеру ниже.	ECDSA P-256, decided 2026-08-19 on the measurement below.
chat.2026-08-19.477	2026-08-19	xor.ad/docs/chat_RU.md:977	xor.ad/docs/chat_EN.md:989	Померено на живых браузерах — 19.08.2026.	Measured against real browsers — 2026-08-19.
chat.2026-08-20.33	2026-08-20	xor.ad/docs/chat_RU.md:33	xor.ad/docs/chat_EN.md:33	Под-разделов не будет — решено 20.08.2026.	No sub-sections — decided 2026-08-20.
chat.2026-08-20.57	2026-08-20	xor.ad/docs/chat_RU.md:57	xor.ad/docs/chat_EN.md:57	Последний кадр — решено 20.08.2026: надгробие видит только тот, кто см	The last frame — decided 2026-08-20: only the person who was looking s
chat.2026-08-20.60	2026-08-20	xor.ad/docs/chat_RU.md:60	xor.ad/docs/chat_EN.md:60	Набор сроков — четыре, решено 26.08.2026:	The set of spans is four, settled 2026-08-26:
chat.2026-08-20.375	2026-08-20	xor.ad/docs/chat_RU.md:866	xor.ad/docs/chat_EN.md:875	Имя меняется только на чистом счету — решено 20.08.2026, сужено 21.08.	The name changes only on a clean slate — decided 2026-08-20, narrowed 
chat.2026-08-20.376	2026-08-20	xor.ad/docs/chat_RU.md:867	xor.ad/docs/chat_EN.md:876	Имя проходит ту же очередь модерации, что и фраза, — в момент первой п	The name goes through the same moderation queue as a phrase — at the f
chat.2026-08-20.403	2026-08-20	xor.ad/docs/chat_RU.md:867	xor.ad/docs/chat_EN.md:876	Имя проходит ту же очередь модерации	The name goes through the same moderation queue
chat.2026-08-20.770	2026-08-20	xor.ad/docs/chat_RU.md:1407	xor.ad/docs/chat_EN.md:1428	Про имя такого сообщения нет и быть не может	There is no such message for a name, and there cannot be
chat.2026-08-20.1897	2026-08-20	xor.ad/docs/chat_RU.md:2786	xor.ad/docs/chat_EN.md:2825	Окна с непроверенным именем нет — решено 20.08.2026.	There is no unchecked-name window — decided 2026-08-20.
chat.2026-08-25.1389	2026-08-25	xor.ad/docs/chat_RU.md:2186	xor.ad/docs/chat_EN.md:2226	Но узел считает не символы, а байты.	The node, however, counts bytes and not characters.
chat.2026-08-28.705	2026-08-28	xor.ad/docs/chat_RU.md:1332	xor.ad/docs/chat_EN.md:1351	Код рождается на устройстве — записано 28.08.2026.	The code is born on the device — recorded 2026-08-28.
chat.2026-08-28.817	2026-08-28	xor.ad/docs/chat_RU.md:1461	xor.ad/docs/chat_EN.md:1482	области, которую человек выбирает сам	an area the person chooses themselves
chat.2026-08-29.105	2026-08-29	xor.ad/docs/chat_RU.md:267	xor.ad/docs/chat_EN.md:245	Три из них — предложения, а не действия (29.08.2026).	Three of them are proposals rather than actions (2026-08-29).
chat.2026-08-29.119	2026-08-29	xor.ad/docs/chat_RU.md:286	xor.ad/docs/chat_EN.md:267	Доска управляется и с клавиатуры (29.08.2026).	The board is operable from a keyboard too (2026-08-29).
chat.2026-08-29.329	2026-08-29	xor.ad/docs/chat_RU.md:819	xor.ad/docs/chat_EN.md:827	Что человек принял — отдельная таблица, а не колонка (решено 29.08.202	What a person accepted is a table of its own, not a column (decided 20
chat.2026-08-29.595	2026-08-29	xor.ad/docs/chat_RU.md:1149	xor.ad/docs/chat_EN.md:1164	Строка «сеть» убрана — решено 29.08.2026, и цена названа.	The "network" line was removed — decided 2026-08-29, and the price is 
chat.2026-08-30.135	2026-08-30	xor.ad/docs/chat_RU.md:304	xor.ad/docs/chat_EN.md:286	Стол не занимает квоту публикаций и сам ничем не ограничен — решено 30	A table takes no posting quota and is itself unlimited — decided 2026-
chat.2026-08-30.136	2026-08-30	xor.ad/docs/chat_RU.md:305	xor.ad/docs/chat_EN.md:287	Стикеры за столом работают, как в беседе, но видны узлу (30.08.2026).	Stickers work at a table as they do in a conversation, but the node se
chat.2026-08-30.381	2026-08-30	xor.ad/docs/chat_RU.md:872	xor.ad/docs/chat_EN.md:881	Закрытая личность удаляется через 30 дней — решено 30.08.2026 по ревью	A closed identity is deleted after 30 days — decided 2026-08-30 from a
chat.2026-08-30.386	2026-08-30	xor.ad/docs/chat_RU.md:880	xor.ad/docs/chat_EN.md:889	20 минут, час или 4 часа	20 minutes, an hour, or 4 hours
chat.2026-08-31.144	2026-08-31	xor.ad/docs/chat_RU.md:314	xor.ad/docs/chat_EN.md:296	Схема стола — заведена 31.08.2026.	The table's schema — established 2026-08-31.
chat.2026-08-31.200	2026-08-31	xor.ad/docs/chat_RU.md:521	xor.ad/docs/chat_EN.md:514	`ON DELETE SET NULL`, а не `CASCADE` — решено 31.08.2026 по панели рев	`ON DELETE SET NULL`, not `CASCADE` — decided 2026-08-31 by a review p
chat.2026-08-31.215	2026-08-31	xor.ad/docs/chat_RU.md:546	xor.ad/docs/chat_EN.md:540	Срок молчания — 60 минут, число названо 31.08.2026.	The span of silence is 60 minutes — the number named on 2026-08-31.
chat.2026-08-31.817	2026-08-31	xor.ad/docs/chat_RU.md:1461	xor.ad/docs/chat_EN.md:1482	области, которую человек выбирает сам	an area the person chooses themselves
chat.2026-08-31.861	2026-08-31	xor.ad/docs/chat_RU.md:1524	xor.ad/docs/chat_EN.md:1545	Зачем — решено 31.08.2026.	Why — decided 2026-08-31.
chat.2026-08-31.865	2026-08-31	xor.ad/docs/chat_RU.md:1536	xor.ad/docs/chat_EN.md:1558	Как считается клетка — записано 31.08.2026, потому что наивная реализа	How the cell is computed — written down on 2026-08-31, because a naive
chat.2026-08-31.880	2026-08-31	xor.ad/docs/chat_RU.md:1551	xor.ad/docs/chat_EN.md:1573	Насколько — посчитано 31.08.2026, и прежняя формулировка «общее с сотн	By how much was computed on 2026-08-31, and the earlier wording "share
SPEC.2026-08-28.124	2026-08-28	xor.ad/docs/dsa/SPEC_RU.md:133	xor.ad/docs/dsa/SPEC_EN.md:140	Стол добавлен 28.08.2026 — следствие, а не новое решение.	The table was added on 2026-08-28 — a consequence, not a new decision.
SPEC.2026-08-29.207	2026-08-29	xor.ad/docs/dsa/SPEC_RU.md:304	xor.ad/docs/dsa/SPEC_EN.md:319	Записано 29.08.2026, и это вывод не юриста.	Recorded 2026-08-29, and this is not a lawyer's conclusion.
SPEC.2026-08-27.482	2026-08-27	xor.ad/docs/offers/SPEC_RU.md:544	xor.ad/docs/offers/SPEC_EN.md:568	В ленте с 27.08.2026 три сущности	Since 2026-08-27 the feed holds three things
SPEC.2026-08-29.280	2026-08-29	xor.ad/docs/offers/SPEC_RU.md:342	xor.ad/docs/offers/SPEC_EN.md:351	Срок — единственное ограничение со своим полем (правка 29.08.2026).	The term is the one limit with a field of its own (edit of 2026-08-29)
app-prototype-spec.2026-08-26.144	2026-08-26	xor.ad/docs/app-prototype-spec_RU.md:144	xor.ad/docs/app-prototype-spec_EN.md:144	свой у каждого	each person's own
app-prototype-spec.2026-08-26.147	2026-08-26	xor.ad/docs/app-prototype-spec_RU.md:147	xor.ad/docs/app-prototype-spec_EN.md:147	ступень	**band** of density
app-prototype-spec.2026-08-27.119	2026-08-27	xor.ad/docs/app-prototype-spec_RU.md:119	xor.ad/docs/app-prototype-spec_EN.md:119	Список закрыт 27.08.2026: эти экраны написаны.	Closed on 2026-08-27: these screens are written.
