# Числа, которые не являются пределами платформы. Одна пара «значение + единица» —
# одна строка, с причиной.
#
# Отдельно от noise.tsv (там даты) по одной причине: реестр шума ценен, пока его
# читают. Даты и числа смешивать нельзя — получится свалка, в которую перестанут
# смотреть, и она начнёт оправдывать пропуски вместо того, чтобы их называть.
#
# Единица нормализована: «символов» и «characters» — одна единица chars, «м» и
# «metres» — m. Пара живёт в обеих половинах одновременно, и считать их порознь
# значило бы удваивать одно и то же число.
#
# Виды:
#   prose.figure    число внутри рассуждения: «через 30 дней», «пять минут»
#   sample.data     значение внутри примера: JSON, вывод команды, таблица
#   external.fact   чужая величина: тариф поставщика, требование закона
#   ui.geometry     размер в вёрстке: отступ, ширина колонки, точка перелома
#   measurement     результат замера, а не обязательство
#
# Колонки: value, unit, kind, why, example (файл:строка от корня группы)
value	unit	kind	why	example
129	chars	sample.data	вход теста: на единицу длиннее предела фразы	xor.ad/docs/test-map_EN.md:132
2049	bytes	sample.data	вход теста: на байт длиннее предела шифротекста	xor.ad/docs/test-map_EN.md:231
6	min	sample.data	вход теста: часы клиента ушли за окно подписи	xor.ad/docs/test-map_EN.md:70
1404	bytes	measurement	замер честного клиента против предела 2048	xor.ad/docs/chat_EN.md:1424
1.4	KB	measurement	тот же замер в килобайтах	xor.ad/docs/chat_EN.md:1428
1	KB	measurement	округление того же замера в рассуждении	xor.ad/docs/chat_EN.md:1428
378	chars	measurement	производная от предела шифротекста, а не отдельное обязательство	sosed.place/docs/08-chat-screen_EN.md:21
71	KB	measurement	нынешний вес каталога стикеров против потолка 150 КБ	sosed.place/docs/16-stickers_EN.md:24
8	KB	measurement	размер строки лога, в который обязан поместиться шифротекст	xor.ad/docs/open-work_EN.md:1162
10	km	measurement	перечень сверенных аудитом констант на дату аудита	xor.ad/docs/AUDIT_EN.md:597
50	m	prose.figure	пример шага сетки в рассуждении о вложенности ступеней	xor.ad/docs/chat_EN.md:897
2	km	prose.figure	пример радиуса зоны в рассуждении о цене верхней ступени	sosed.place/docs/04-post-composer_EN.md:17
64	min	prose.figure	число из строки таблицы маршрутов, не предел	xor.ad/docs/protocol_RU.md:91
